zorgprofessionalID,zorgprofessionalNaam,email,rol,organisatieID
"dd0f0c52-0cc3-45a4-9dbb-7e78731ad3c3",Stormy Arthur,stormy.arthur@warmthuis.nl,Verzorgende,"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5"
"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5",Adriaens Konstam,adriaens.konstam@warmthuis.nl,Verzorgende,"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5"
"6e7b67e9-d89b-46a9-867e-9b77077e4e48",Sonnie Bristowe,sonnie.bristowe@warmthuis.nl,Verzorgende,"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5"
"36b853c0-7755-4044-9039-450ef079ba49",Lyndsey Renyard,lyndsey.renyard@warmthuis.nl,Verzorgende,"9b7142a1-583f-4b6f-8c79-3421a6c4a5e5"
"b1f9535f-8d88-45a0-9d6f-af08e8197d0d",Rik Rehn,rik.rehn@voorelkaar.nl,Verpleegkunde,"fa06b8d2-828d-47c2-a049-0b943dbbcfa9"
"fa06b8d2-828d-47c2-a049-0b943dbbcfa9",Julian Ciric,julian.ciric@voorelkaar.nl,Verpleegkunde,"fa06b8d2-828d-47c2-a049-0b943dbbcfa9"
"277c8813-9e7b-4c0f-b0be-d48686c1af84",Roxi Chate,roxi.chate@voorelkaar.nl,Verpleegkunde,"fa06b8d2-828d-47c2-a049-0b943dbbcfa9"
"3dd2152f-1760-4505-ba85-0a6cfd9f82a7",Webster Ryves,webster.ryves@voorelkaar.nl,Verpleegkunde,"fa06b8d2-828d-47c2-a049-0b943dbbcfa9"
"5b4c8d0e-f07f-4d8f-8a15-19b3b5968e66",Fina Hartfleet,fina.hartfleet@bartholomeusgasthuis.nl,Verzorgende,"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1"
"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1",Cynthy Lownds,cynthy.lownds@bartholomeusgasthuis.nl,Verzorgende,"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1"
"20cc9275-8e8a-408d-b3db-52ac0dddaa43",Paulo Dupey,paulo.dupey@bartholomeusgasthuis.nl,Verzorgende,"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1"
"db4eb9a7-6b27-44ad-8449-85546c16b9be",Garvy Trenholme,garvy.trenholme@bartholomeusgasthuis.nl,Verzorgende,"29e9d63d-04ed-4d7f-953b-1b5db86bc6c1"
"0a6b62ef-ec5d-45a2-a29e-cc9a388ad745",Shalom Gowthrop,shalom.gowthrop@opella.nl,Verzorgende,"1e23b6c2-72a3-44c5-aecd-0c791f6022b9"
"1e23b6c2-72a3-44c5-aecd-0c791f6022b9",Gibb Titterrell,gibb.titterrell@opella.nl,Verzorgende,"1e23b6c2-72a3-44c5-aecd-0c791f6022b9"
"6408a979-d794-43a9-97f4-7ef40f13f62d",Rollins Scolliar,rollins.scolliar@opella.nl,Verzorgende,"1e23b6c2-72a3-44c5-aecd-0c791f6022b9"
"7ce6d3ff-9cbb-4b1c-93b0-0130e482a5d0",Flory Yare,flory.yare@opella.nl,Verzorgende,"1e23b6c2-72a3-44c5-aecd-0c791f6022b9"
"5db6869c-23c7-48cc-9e7a-71886bfae9e0",Albertina Morgue,albertina.morgue@dezorgspecialist.nl,Verzorgende,"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f"
"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f",Grantham Redfearn,grantham.redfearn@dezorgspecialist.nl,Verzorgende,"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f"
"65b5f347-dce2-4409-9682-6f1b55a2e09a",Kristin Kales,kristin.kales@dezorgspecialist.nl,Verzorgende,"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f"
"76a4dd84-029e-4be2-8043-1dd813f3d6e6",Carena Fancutt,carena.fancutt@dezorgspecialist.nl,Verzorgende,"9e7df8c9-4fb2-4f8b-8da2-5c6826be3a8f"
"fd8c937a-33d4-44b1-ae4e-4af62b56dbd8",Hewe Chitter,hewe.chitter@zinziazorggroep.nl,Psycholoog,"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b"
"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b",Jacquie Goldsbury,jacquie.goldsbury@zinziazorggroep.nl,Psycholoog,"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b"
"9c34e153-74b4-4a46-8d67-d7f84c2d47a0",Kelcy Medling,kelcy.medling@zinziazorggroep.nl,Psycholoog,"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b"
"b8c8645f-687b-4a6b-ae2e-cc7a3c61c732",Kalie Robb,kalie.robb@zinziazorggroep.nl,Psycholoog,"2fc7c3ad-8e81-4f9c-9b33-2465b2c3cc3b"
"60150a48-dbe4-4d85-9b85-0d71a0513aa3",Evangelina Fellon,evangelina.fellon@stichtingzorggroepoudeennieuweland.nl,Verzorgende,"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7"
"0d32b30d-72d4-4e47-bc41-bc05c0a1fe65",Vince Day,vince.day@stichtingzorggroepoudeennieuweland.nl,Verzorgende,"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7"
"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7",Julio Levitt,julio.levitt@stichtingzorggroepoudeennieuweland.nl,Verzorgende,"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7"
"906cf0fb-8a29-47a9-9a7c-94b4e7ac154f",Edmund Cofax,edmund.cofax@stichtingzorggroepoudeennieuweland.nl,Verzorgende,"cc7e1412-b4b7-4dbb-aef3-84d8f7e449c7"
"e040d519-dcc5-4969-86c3-54006f21656c",Essy Wigley,essy.wigley@careyn.nl,Verpleegkunde,"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff"
"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff",Maximilien Petrus,maximilien.petrus@careyn.nl,Verpleegkunde,"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff"
"6fb93abf-1d71-481f-88f3-81f9f56efdb5",Kippy Brunskill,kippy.brunskill@careyn.nl,Verpleegkunde,"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff"
"6be09039-064a-4b52-92e5-63e1c8e26f6d",Aigneis Vowels,aigneis.vowels@careyn.nl,Verpleegkunde,"1dcfd55b-7b5e-431a-8753-6a7e66b0b8ff"
"8be1e0db-7ff2-4c17-804a-259d59ababf6",Dilly Digan,dilly.digan@philadelphiazorg.nl,Fysioloog,"08d8c930-29db-4a48-aa79-b0294f09074a"
"08d8c930-29db-4a48-aa79-b0294f09074a",Shelia Rugge,shelia.rugge@philadelphiazorg.nl,Fysioloog,"08d8c930-29db-4a48-aa79-b0294f09074a"
"afbe9dfe-5311-4d30-86a4-3e313e556bf7",Sheelah Clenett,sheelah.clenett@philadelphiazorg.nl,Fysioloog,"08d8c930-29db-4a48-aa79-b0294f09074a"
"9c733c14-2489-4404-8d32-6f5d7834c602",Lesly Lytton,lesly.lytton@philadelphiazorg.nl,Fysioloog,"08d8c930-29db-4a48-aa79-b0294f09074a"
"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b",Emmy Fosberry,emmy.fosberry@talismancaregroup.nl,Psycholoog,"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b"
"3ce36d0d-ccfd-4d3b-97c0-3e4829e6c07e",Fitz Aindrais,fitz.aindrais@talismancaregroup.nl,Psycholoog,"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b"
"b7a49ab2-8628-4e9c-89b9-7a94ff1ed14d",Abdul Stroder,abdul.stroder@talismancaregroup.nl,Psycholoog,"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b"
"7b29e27e-5b5a-4a11-82b4-23e2463eb3a2",Arron De Ruggero,arron.ruggero@talismancaregroup.nl,Psycholoog,"8b5f14d4-dac9-4c44-a9b6-6e2e8f15fd4b"
